aa,count
M,182827
H,162452
W,91861
I,397001
A,473334
T,374880
R,387013
N,322834
V,494360
S,647502
F,318250
P,345669
K,456487
Y,212232
L,705761
E,481090
G,479597
C,132137
D,389731
Q,253613
X,3
