aa,count
M,199065
D,381047
K,320752
F,271473
R,412368
V,510533
Q,310364
G,534397
P,313133
T,372360
L,745844
E,439452
I,415040
S,387592
A,685450
N,265900
H,164233
C,80632
Y,192557
W,100019
X,44
U,3
Z,1
